Blog	golden	songwriter	service	singer	saying	nature	dave	shadow	crowd	bottom	following	seriously	internet	west	ascii	dirty	november	followed	huge	scott	research	singles	chorus	land	resources	process	books	length	festival	false	tonight	tape	web	places	problem	worth	era	production	l	electronic	musical	peel	turns	guy	ended	non	tomorrow	vocals	america	gonna	using	learned	tracks	inspired	hansi	pictures	wave	michael	ryan	camera	meet	links	including	university	tunes	widow	http	library	likely	met	amazing	personal	seven	deal	somehow	father	round	okay	box	bob	visit	fuck	interesting	lunch	performance	london	label	august	tour	among	images	zero	needs	acts	chart	century	epic	entire	access	hair	excellent	drummer	saturday	final	despite	however	news	conference	parker	level	figure	jazz	featuring	career	friday	store	electric	wrote	solo	questions	nick	include	g	local	opening	joy	job	april	perhaps	difficult	theatre	episode	copy	theme	score	possible	team	current	date	data	definitions	twin	industry	act	image	original	cast	pick	science	sense	information	imagine	w	relationship	session	sex	community	funny	recent	link	code	results	led	lee	doubt	clearly	edition	co	ca	cd	moments	near	dr	kept	minor	december	indeed	hall	ep	size	mostly	husband	classic	media	recorded	food	neil	bass	genre	liked	seeing	himself	download	click	attack	ben	anyway	written	sonic	type	acoustic	points	www	shit	digital	pink	guys	vinyl	language	question	reading	margin	totally	bowie	audience	broken	drums	field	students	starting	titled	search	none	folk	luke	throughout	create	understand	bill	excited	per	forward	giving	pagination	lp	latest	buy	studio	mr	several	greatest	bands	christmas	nd	particular	sing	weird	ok	taylor	included	added	recently	pt	due	fucking	issues	fine	sort	studios	van	table	guitarist	itself	example	series	previous	support	awesome	truly	recordings	bright	october	johnny	available	church	straight	format	continue	spring	themselves	uk	magic	system	means	site	ghost	interview	created	loved	photo	welcome	certainly	text	presented	usually	january	happen	british	national	rules	los	history	issue	wonderful	september	jeff	within	win	completely	based	underground	records	stories	whose	features	modern	mine	seem	dog	coast	human	character	johnson	latin	mso	broadcast	shot	nearly	similar	either	general	film	important	public	compilation	members	para	park	recording	fans	simple	simply	f	matt	apparently	mid	mix	add	although	limited	tom	snow	chris	approach	games	trust	plus	gig	focus	happened	releases	released	unfortunately	ideas	college	key	alt	thursday	knows	v	parts	expect	remix	material	july	piano	wall	mike	present	smith	whether	brought	hop	beauty	debut	boston	release	result	asked	player	tune	films	punk	san	note	pages	artist	mean	certain	smile	via	soundtrack	england	blues	vocal	river	tools	pieces	produced	lucky	etc	monday	indie	eventually	guitars	james	title	area	building	heaven	amount	tried	beyond	event	albums	whatever	facebook	plays	singing	becomes	ride	control	mentioned	quality	playlist	exactly	orphan	computer	began	twitter	artists	presents	lights	answer	content	definitely	lyrics	bar	super	jones	thank	main	voices	wonder	normal	parent	share	mountain	built	particularly	yesterday	google	body	collection	dad	mention	south	bear	calling	lake	alive	noise	j	changed	changes	metal	players	cambria	longer	tstyle	brother	quick	sessions	stream	birthday	season	review	cities	earlier	font	aren	hip	various	became	women	tag	york	view	closer	lead
this time tomorrow	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
isyeli's	0	1	0	1	0	1	0	1	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	4	0	0	0	0	0	1	0	4	0	0	16	0	3	0	0	0	5	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	2	1	1	1	1	1	0	0	4	1	0	0	3	0	0	0	3	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	2	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	2	5	0	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	7	2	1	0	1	1	4	2	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	3	0	0	2	1	0	0	0	5	2	0	0	1	0	0	0	0	1	0	1	0	0	0	1	3	0	0	1	0	0	0	0	1	1	0	0	2	1	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	1	3	5	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	4	0	5	0	2	2	0	1	0	0	2	1	1	0	2	0	0	0	1	0	0	4	3	2	1	2	0	4	0	2	0	0	0	1	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0
But She's Not Stupid	4	0	18	5	38	26	32	3	5	7	18	13	17	18	4	6	38	2	39	12	27	1	2	4	13	23	43	7	5	12	74	1	1	17	15	34	2	25	1	0	19	0	10	34	16	33	18	1	12	23	31	42	2	15	4	26	4	0	11	10	29	5	16	8	1	2	0	10	8	18	46	46	14	23	22	20	4	78	25	15	17	0	38	8	18	1	2	17	6	23	5	1	12	3	0	4	7	55	9	41	1	2	25	32	11	11	15	3	0	7	35	4	0	16	11	16	3	37	1	18	7	18	12	17	17	13	49	9	2	29	149	7	9	9	0	20	5	35	11	0	5	2	19	32	10	10	124	19	17	43	7	16	0	26	2	23	27	44	10	7	2	4	4	1	1	13	1	9	0	0	39	12	8	43	7	38	0	0	0	14	22	44	3	10	6	24	4	0	1	11	17	13	0	8	2	46	37	18	0	9	0	2	0	0	1	0	23	0	18	20	35	4	52	0	29	11	1	3	20	18	0	5	19	0	16	11	36	23	7	32	22	17	34	2	0	1	18	6	11	31	11	3	31	8	7	15	19	0	15	17	13	19	12	5	0	16	27	85	3	8	14	2	7	14	28	4	14	111	26	0	2	4	9	11	64	15	1	12	12	15	0	9	8	28	3	7	11	21	24	18	8	8	8	1	35	20	35	7	9	22	0	41	10	32	23	8	20	5	33	19	2	1	33	6	2	15	9	21	6	2	61	33	7	4	28	0	8	4	9	33	28	79	53	20	0	25	4	20	4	2	9	23	18	8	8	6	0	19	20	7	3	8	7	4	10	21	7	4	19	42	3	3	1	29	7	4	2	18	14	0	17	3	0	3	29	2	9	11	10	4	30	14	4	38	1	1	5	9	38	1	9	13	1	1	29	4	8	55	36	15	19	1	8	9	2	5	12	9	3	19	44	26	1	16	2	7	3	28	23	3	12	18	4	6	2	26	19	14	25	4	8	10	5	2	3	29	2	2	17	8	12	0	18	15	2	13	9	4	13	6	24	12	4	7	9	7	40	21	7	4	10	7	36	7	11	5	10	6	12	50	12	2	2	19	29	3	2	4	19	4	7	10	2	3	19	7	12	7	15	16	32	8	7	15	98	2	45	6	12	8
from a voice plantation	3	0	3	13	5	9	0	9	9	2	3	3	1	14	0	5	0	9	14	2	1	0	0	7	0	5	3	0	14	3	5	3	0	25	7	7	4	6	6	1	4	2	0	4	10	5	5	9	2	3	6	0	11	1	0	9	14	3	1	8	4	1	15	2	4	0	8	0	2	9	20	1	5	4	15	0	8	4	3	14	10	2	34	2	10	57	3	2	21	4	19	0	2	10	0	6	4	5	3	4	7	6	9	3	6	12	7	1	0	2	6	3	12	1	12	0	4	3	10	3	3	1	3	10	3	3	5	3	1	11	10	1	4	3	4	11	1	4	4	1	0	4	1	1	7	16	2	2	3	18	3	2	3	0	2	0	2	3	5	6	0	1	2	5	2	5	1	9	0	4	6	44	1	7	3	0	2	11	3	1	37	0	8	0	14	7	0	6	0	10	12	5	0	5	2	1	35	11	3	1	3	4	33	4	3	16	3	1	14	0	6	0	5	1	15	1	0	6	0	8	1	1	3	2	0	14	5	7	6	3	1	4	3	0	1	13	5	9	11	9	3	27	2	3	3	6	38	15	0	2	4	17	5	8	3	0	8	17	3	0	1	2	5	1	9	5	5	2	6	2	3	2	1	3	13	11	1	2	4	5	14	2	3	7	136	2	1	4	14	3	3	8	4	4	8	0	8	3	6	1	2	9	1	14	0	0	3	1	8	3	5	25	5	5	11	6	14	18	1	16	1	9	0	0	0	0	4	1	12	10	4	35	7	5	0	4	0	18	11	10	2	1	0	0	26	5	11	6	0	1	2	11	9	1	1	1	66	30	3	9	1	3	7	2	0	5	13	1	1	4	4	2	0	10	3	7	7	0	5	2	9	2	1	3	1	0	6	5	4	0	4	10	26	1	1	1	4	5	10	1	4	6	6	3	3	20	0	4	1	0	52	16	17	11	5	10	10	30	3	1	0	4	5	6	14	8	3	5	6	4	7	8	2	11	1	10	0	0	0	0	4	17	9	1	0	30	20	30	5	1	3	17	12	5	1	1	0	5	5	2	8	2	0	2	0	3	14	3	1	3	7	39	1	7	0	5	1	0	6	0	6	1	1	5	15	0	0	4	7	0	2	0	8	11	0	0	6	14	6	7
Lost in the Shuffle	6	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	15	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	1	0	0	6	0	0	0	2	4	0	0	1	0	8	6	0	0	0	0	0	2	0	5	10	8	0	0	0	0	0	1	0	0	0	5	1	1	2	1	0	14	1	1	2	6	0	0	0	0	0	7	0	16	1	0	0	3	4	0	0	2	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	25	0	0	1	6	0	0	0	7	0	0	3	0	2	0	10	0	0	0	0	0	3	0	0	2	2	0	0	0	9	0	0	0	0	1	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	1	8	0	0	0	1	0	0	2	0	9	0	1	13	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	9	1	0	1	0	0	0	0	1	1	5	0	0	0	1	0	0	4	0	0	11	0	13	0	0	0	0	0	0	2	0	1	2	0	0	0	1	1	0	0	0	0	0	2	0	3	0	4	0	0	1	1	7	1	0	0	0	8	0	0	0	9	0	0	9	3	0	0	0	0	0	0	0	0	0	14	13	5	0	0	0	0	0	1	0	0	7	1	0	0	20	0	0	2	1	0	0	0	0	0	15	4	2	5	1	4	0	0	0	14	17	1	1	1	0	0	0	1	0	0	2	12	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	15	0	0	3	0	0	0	8	2	11	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	5	1	0	2	0	15	1	3	3	0	8	0	0	4	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	8	0	17	0	3	0	0	2	3	0	0	0	31	0	0	0	2	0	0	4	0	0	0	0	0	0	0	4	3	0	0	138	0	0	0	0	0	0	0	11	1	0	0	0	0	1	3	2	0	2	1	0	0	1	2	3	0	0	0	6	0	0	1	1	21	2	5	3	4	3	1	3	2	0	0	1	0	5	0	0	1	1	3	1	3	0	0	0	0	0	0	0	0	7	1	3	1
PLATTENTIPPS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0
A H T A P O T	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	1	5	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0
The Stearns Family	0	0	1	1	9	0	0	0	0	1	4	3	1	0	0	6	2	1	2	0	0	0	1	0	0	3	2	0	0	0	4	0	0	4	1	5	0	0	0	0	1	0	2	1	11	1	3	0	2	0	4	4	0	0	0	88	0	0	0	16	6	0	0	0	1	0	0	0	0	3	2	0	2	3	0	9	2	13	2	0	12	0	2	15	0	0	0	4	0	0	0	2	3	0	0	0	0	11	0	7	3	0	31	2	0	0	1	0	242	0	5	0	0	0	23	2	1	1	0	1	0	0	0	0	8	2	25	3	0	3	0	0	0	0	0	3	2	0	4	0	0	0	0	1	0	1	0	4	0	0	0	2	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	13	1	1	0	0	0	1	1	9	0	0	0	20	0	0	0	3	12	1	0	0	1	1	2	0	0	3	0	0	0	0	0	1	1	0	1	2	10	0	1	0	0	3	0	6	5	4	0	1	2	0	0	7	3	1	0	35	0	6	5	0	0	0	11	0	0	3	1	0	29	3	2	4	1	0	0	4	0	2	0	11	0	1	1	0	0	1	2	0	0	0	0	1	0	14	2	0	1	1	0	0	9	0	0	3	3	1	0	1	0	0	0	0	9	0	16	4	0	0	0	1	9	1	7	0	0	0	0	2	2	18	4	84	0	5	2	0	0	0	0	0	0	0	2	3	3	0	0	1	1	0	0	0	4	0	1	5	2	0	2	1	0	3	0	11	0	1	1	0	0	0	2	0	1	0	0	1	0	30	0	0	7	1	1	0	0	5	0	0	12	2	1	1	0	12	0	0	0	1	0	0	6	0	2	0	0	0	0	4	0	1	0	0	0	2	9	1	0	0	0	0	3	0	0	5	1	0	0	0	0	0	0	1	0	0	0	4	0	8	0	2	0	0	0	8	1	0	8	13	7	2	0	3	2	2	8	0	12	1	1	2	0	2	0	6	7	0	0	6	0	1	0	8	0	2	12	0	3	1	0	1	3	4	5	1	0	0	9	0	0	0	14	0	0	1	1	2	0	1	0	1	2	0	1	0	2	0	9	5	1	0	39	0	0	0	4	0	3	0	0	2	0	0	3	0	3	0
Sonology	7	0	2	0	7	14	0	1	6	3	11	1	4	0	0	1	3	5	5	0	4	0	0	4	0	13	15	0	2	0	0	2	1	5	11	0	0	1	0	2	3	0	9	6	1	5	0	0	1	2	0	20	0	1	0	5	6	1	3	3	2	0	8	1	1	0	0	3	3	6	3	3	0	7	9	26	4	0	9	1	11	0	9	6	1	1	0	4	1	5	2	2	6	1	0	2	0	8	4	14	1	0	5	10	18	26	2	2	0	6	3	0	3	1	1	9	1	4	1	8	0	2	2	4	2	2	5	1	20	1	0	4	3	3	5	3	12	2	1	4	1	1	8	7	4	4	3	3	14	14	4	9	0	3	0	1	3	12	4	0	2	1	5	0	2	5	0	5	2	0	7	5	6	3	2	2	6	0	3	3	3	2	7	5	0	12	0	0	0	4	11	9	0	0	7	1	7	0	2	0	0	3	0	2	2	4	16	0	5	24	15	0	2	0	5	0	0	4	2	6	1	4	6	0	153	1	3	9	0	1	3	14	4	0	0	1	6	0	9	14	5	3	15	1	1	2	5	6	0	1	0	11	0	5	0	2	1	5	0	4	5	0	5	7	2	0	5	11	1	0	1	0	0	1	0	4	0	1	12	5	0	7	3	11	2	1	8	9	10	2	1	0	2	2	7	4	5	1	5	2	0	11	4	5	2	0	13	3	2	2	0	0	3	6	1	2	7	13	9	0	16	6	0	0	0	0	5	7	5	5	3	1	13	0	0	4	0	12	1	2	11	7	0	1	6	2	1	9	1	3	4	6	1	18	35	2	4	0	2	3	0	103	19	8	7	1	0	0	3	0	2	4	2	1	4	4	2	0	8	4	12	8	4	8	0	0	2	6	19	2	2	1	3	0	6	0	2	3	6	20	1	0	1	0	0	35	3	7	0	1	3	0	0	8	0	1	1	7	10	2	4	5	7	4	0	6	0	4	3	2	4	7	0	2	0	3	0	6	1	0	1	5	5	4	2	2	1	1	4	0	2	1	0	10	3	17	8	10	6	11	6	2	7	0	156	6	3	1	4	7	6	7	0	5	5	1	1	0	9	0	30	1	1	0	47	2	2	1	8	0	9	3	1	8	2	0	2	6	1	5
Our Podcast Could Be Your Life	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	54	0	0	0	0	0	4	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
symmetry/symmetry	0	0	0	0	2	1	0	0	3	0	0	3	2	0	0	0	1	1	0	5	0	1	1	0	1	0	0	6	0	0	3	0	0	2	2	0	0	0	2	1	2	0	2	3	0	1	2	1	0	1	1	1	3	1	0	4	0	4	5	1	2	0	0	0	0	0	7	0	0	1	0	1	0	2	0	4	0	0	2	0	1	0	2	0	4	0	0	0	2	0	0	8	0	0	0	0	0	0	0	1	0	1	7	4	0	0	4	0	0	1	3	0	0	0	6	0	0	1	2	0	0	1	2	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	2	0	2	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	10	2	0	6	0	0	0	1	0	3	0	0	2	0	1	2	2	4	0	0	0	3	4	0	3	0	0	7	2	0	1	5	0	0	1	1	0	2	0	1	0	7	0	0	0	0	2	0	0	0	1	1	2	0	9	0	1	0	0	0	0	1	10	1	0	0	6	7	0	0	0	1	5	0	1	3	0	0	1	2	3	1	3	0	0	1	0	1	0	0	0	4	1	1	2	0	0	0	3	1	1	0	0	0	1	0	0	2	5	0	2	0	0	0	0	1	0	1	0	0	2	2	0	0	2	0	0	1	1	6	6	0	1	2	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	1	1	0	0	9	2	0	0	1	0	1	0	2	2	0	1	0	0	0	0	1	2	1	0	1	1	1	0	1	1	1	1	0	2	0	1	1	1	0	7	1	0	0	1	2	0	1	1	0	0	3	0	8	0	5	1	3	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	2	0	4	5	0	1	0	0	2	0	2	0	1	1	0	1	1	2	0	2	0	0	1	0	4	1	0	0	0	1	3	0	2	0	0	0	0	3	1	10	0	4	5	0	0	1	0	0	4	0	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	1	0
The Nosebleed Section	0	0	0	0	1	0	0	0	1	5	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	1	3	0	1	0	0	0	2	1	10	0	0	0	0	0	1	1	0	0	0	5	0	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	2	0	0	0	1	0	0	4	1	0	0	1	0	0	1	3	3	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	1	0	5	0	0	1	5	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	11	0	1	0	0	15	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	1	0	1	20	2	0	0	1	1	0	0	10	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	4	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	14	70	0	1	2	0	0	0	0	1	1	0	0	10	0	0	2	2	2	0	0	1	1	1	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	1	5	0	0	1	0	0	1	0	0	0	0	1	4	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	5	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	10	0	2	0	0	0	6	0	1	0	30	0	0	0	4	0	0	0	1	0	0
